"","X","Chromosome","Start","End","Strand","Strand.1","AddressA","AddressB","Design","Color","Context","Random","HumanMethylation27","Mismatches.A","Mismatches.B","CGI.Relation","CpG","GC","SNPs.3","SNPs.5","SNPs.Full","Cross.reactive","ID"
"8044","cg26008260","chr2",25057298,25057299,"+","+",54610500,48619383,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",8,75,1,1,1,0,"cg26008260"
"8045","cg02353427","chr2",25079600,25079601,"+","+",11786469,11786469,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,56,1,1,1,0,"cg02353427"
"8069","cg14574329","chr2",26205480,26205481,"-","-",40775494,61629310,"I","Grn","CG",FALSE,FALSE,0,0,"Island",14,83,1,1,1,0,"cg14574329"
"8076","cg01188578","chr2",26464058,26464059,"-","-",53652469,53652469,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",1,32,1,1,2,0,"cg01188578"
"8079","cg17535278","chr2",26523139,26523140,"+","+",37659463,37659463,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,46,1,1,1,0,"cg17535278"
"8089","cg18109430","chr2",26700908,26700909,"-","-",46743484,46743484,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,64,1,1,1,0,"cg18109430"
"8108","cg00216024","chr2",27069312,27069313,"-","-",36614376,10619369,"I","Grn","CG",FALSE,FALSE,0,0,"North Shore",2,43,1,1,1,0,"cg00216024"
"8114","cg02804722","chr2",27301057,27301058,"-","-",25801461,25801461,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,49,1,1,1,0,"cg02804722"
"8124","cg11390357","chr2",27437735,27437736,"+","+",38757510,38757510,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",2,42,1,1,1,0,"cg11390357"
"8129","cg03411727","chr2",27444023,27444024,"+","+",42632464,42632464,"II","Both","CG",FALSE,FALSE,0,0,"South Shelf",1,45,1,1,1,0,"cg03411727"
"8132","cg01878321","chr2",27486133,27486134,"+","+",44623462,44623462,"II","Both","CG",FALSE,FALSE,0,0,"Island",6,67,1,1,1,0,"cg01878321"
"8141","cg25896975","chr2",27593451,27593452,"-","-",56785420,56785420,"II","Both","CG",FALSE,TRUE,0,0,"Island",7,63,0,1,1,0,"cg25896975"
"8144","cg14021192","chr2",27616791,27616792,"-","-",72694446,72694446,"II","Both","CG",FALSE,FALSE,1,0,"South Shore",4,51,1,1,1,0,"cg14021192"
"8148","cg15308271","chr2",27720440,27720441,"+","+",52617477,52617477,"II","Both","CG",FALSE,FALSE,0,0,"South Shelf",1,48,1,1,1,0,"cg15308271"
"8158","cg10827768","chr2",28387339,28387340,"-","-",10686383,10686383,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,45,1,1,1,0,"cg10827768"
"8163","cg24882288","chr2",28646937,28646938,"-","-",73623359,73623359,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,53,1,1,1,0,"cg24882288"
"8172","cg20319654","chr2",29121607,29121608,"+","+",34698303,34698303,"II","Both","CG",FALSE,FALSE,0,0,"South Shelf",1,31,0,1,1,0,"cg20319654"
"8174","cg25139410","chr2",29204057,29204058,"-","-",53733330,53733330,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",4,59,0,1,2,0,"cg25139410"
"8189","cg18793512","chr2",30458365,30458366,"+","+",10690509,10690509,"II","Both","CG",FALSE,FALSE,0,0,"South Shelf",2,56,1,1,1,0,"cg18793512"
"8192","cg05614072","chr2",30489411,30489412,"-","-",10633453,10633453,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,55,1,1,1,0,"cg05614072"
"8216","cg24220907","chr2",32265058,32265059,"+","+",17621406,17621406,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",5,60,1,1,1,0,"cg24220907"
"8219","cg04777474","chr2",32288478,32288479,"-","-",17641421,17641421,"II","Both","CG",FALSE,FALSE,0,0,"Island",7,58,1,1,1,0,"cg04777474"
"8228","cg01093329","chr2",32582998,32582999,"+","+",69642425,69642425,"II","Both","CG",FALSE,FALSE,0,0,"Island",8,72,1,1,1,0,"cg01093329"
"8235","cg17363276","chr2",33150993,33150994,"+","+",37808380,37808380,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,47,1,1,1,0,"cg17363276"
"8236","cg21314603","chr2",33152037,33152038,"+","+",54680405,54680405,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,47,0,1,2,0,"cg21314603"
"8253","cg12074150","chr2",34128722,34128723,"-","-",29712489,29712489,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",4,64,1,1,1,0,"cg12074150"
"8259","cg16434764","chr2",36406592,36406593,"+","+",74699378,14707421,"I","Grn","CG",FALSE,FALSE,0,0,"Open Sea",6,58,1,1,1,403,"cg16434764"
"8261","cg02032193","chr2",36557755,36557756,"+","+",31606500,31606500,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,51,1,1,2,0,"cg02032193"
"8266","cg03428619","chr2",36656950,36656951,"+","+",66699313,66699313,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,46,1,1,1,0,"cg03428619"
"8274","cg06703213","chr2",37035865,37035866,"-","-",69604402,69604402,"II","Both","CG",FALSE,FALSE,0,0,"Island",8,56,1,1,1,0,"cg06703213"
"8276","cg14184369","chr2",37145953,37145954,"-","-",25767424,25767424,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,34,1,1,1,0,"cg14184369"
"8278","cg14987922","chr2",37194071,37194072,"+","+",52750504,52750504,"II","Both","CG",FALSE,TRUE,0,0,"Island",3,50,1,1,1,0,"cg14987922"
"8304","cg15933457","chr2",38003689,38003690,"-","-",28797484,28797484,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,51,1,1,1,0,"cg15933457"
"8307","cg06679003","chr2",38152283,38152284,"+","+",53722348,31601453,"I","Grn","CG",FALSE,FALSE,0,0,"Island",14,65,0,1,1,0,"cg06679003"
"8309","cg18852899","chr2",38154797,38154798,"+","+",50645440,50645440,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",1,31,1,1,1,0,"cg18852899"
"8313","cg01834566","chr2",38303442,38303443,"+","+",15602500,15602500,"II","Both","CG",FALSE,FALSE,0,0,"Island",9,68,1,1,1,0,"cg01834566"
"8321","cg09198463","chr2",38603570,38603571,"-","-",26726409,26726409,"II","Both","CG",FALSE,TRUE,0,0,"Island",4,46,1,1,1,0,"cg09198463"
"8322","cg14313275","chr2",38616088,38616089,"+","+",58688309,58688309,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,50,0,1,1,1,"cg14313275"
"8344","cg08861825","chr2",39597028,39597029,"-","-",37624461,37624461,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,49,1,1,1,0,"cg08861825"
"8359","cg27452156","chr2",40203342,40203343,"-","-",58639482,58639482,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,42,1,1,1,0,"cg27452156"
"8361","cg00166653","chr2",40429179,40429180,"+","+",45680467,45680467,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,47,1,1,1,0,"cg00166653"
"8365","cg15549810","chr2",40665177,40665178,"-","-",50612302,50612302,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,44,1,1,3,0,"cg15549810"
"8369","cg13167631","chr2",40739771,40739772,"-","-",38746468,38746468,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,46,1,1,1,0,"cg13167631"
"8379","cg25002781","chr2",42166456,42166457,"-","-",47804486,47804486,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,51,0,1,1,0,"cg25002781"
"8385","cg12078253","chr2",42281792,42281793,"-","-",71774352,71774352,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,63,0,1,1,0,"cg12078253"
"8387","cg01378826","chr2",42303177,42303178,"+","+",65660397,67798325,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",3,53,1,1,1,9,"cg01378826"
"8401","cg20857709","chr2",43019727,43019728,"+","+",67688419,41680310,"I","Red","CG",FALSE,FALSE,0,1,"Island",12,70,0,1,1,0,"cg20857709"
"8403","cg03860530","chr2",43034082,43034083,"-","-",53758509,53758509,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",4,47,1,1,1,1,"cg03860530"
"8405","cg22707446","chr2",43081481,43081482,"+","+",67704467,51714392,"I","Grn","CG",FALSE,FALSE,0,0,"Open Sea",5,59,1,1,1,0,"cg22707446"
"8411","cg13483099","chr2",43216931,43216932,"+","+",48735333,58711386,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",9,56,1,1,2,675,"cg13483099"
"8417","cg26685998","chr2",43334941,43334942,"+","+",53755323,53755323,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,62,1,1,1,0,"cg26685998"
"8421","cg02871985","chr2",43398154,43398155,"+","+",23765321,23765321,"II","Both","CG",FALSE,FALSE,0,0,"Island",7,69,1,1,1,0,"cg02871985"
"8439","cg22475025","chr2",43864340,43864341,"+","+",58789370,72678340,"I","Red","CG",FALSE,FALSE,0,1,"Island",6,66,0,1,1,0,"cg22475025"
"8442","cg11267669","chr2",43903524,43903525,"-","-",24699327,24699327,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",7,72,1,1,2,0,"cg11267669"
"8443","cg14230606","chr2",43903526,43903527,"-","-",64765356,64765356,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",8,72,0,1,2,0,"cg14230606"
"8445","cg04951549","chr2",44001131,44001132,"-","-",22694446,22694446,"II","Both","CG",FALSE,FALSE,1,0,"Open Sea",8,56,1,1,1,0,"cg04951549"
"8451","cg08613504","chr2",44312696,44312697,"+","+",49693316,49693316,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",2,39,1,1,1,0,"cg08613504"
"8461","cg18228448","chr2",44942018,44942019,"+","+",22774456,22774456,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,51,1,1,1,0,"cg18228448"
"8464","cg07514703","chr2",45155774,45155775,"+","+",12801374,24613465,"I","Red","CG",FALSE,FALSE,0,0,"Island",6,48,1,1,1,0,"cg07514703"
"8471","cg23245620","chr2",45172972,45172973,"-","-",59660385,59660385,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",2,57,1,1,1,0,"cg23245620"
"8473","cg18110359","chr2",45179970,45179971,"+","+",46604412,46604412,"II","Both","CG",FALSE,FALSE,0,0,"Island",5,56,1,1,1,0,"cg18110359"
"8475","cg00025680","chr2",45180560,45180561,"+","+",15707320,15707320,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",2,47,0,1,1,0,"cg00025680"
"8486","cg10588622","chr2",45397776,45397777,"+","+",23771429,23771429,"II","Both","CG",FALSE,FALSE,0,0,"Island",6,60,1,1,2,0,"cg10588622"
"8490","cg13366279","chr2",45419558,45419559,"-","-",56725415,56725415,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,41,1,1,2,0,"cg13366279"
"8494","cg02051982","chr2",45508016,45508017,"-","-",23763356,23763356,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",5,64,1,1,1,0,"cg02051982"
"8504","cg02544394","chr2",45878759,45878760,"-","-",39614334,39614334,"II","Both","CG",FALSE,FALSE,1,0,"Island",10,71,1,1,1,0,"cg02544394"
"8506","cg10495606","chr2",45961168,45961169,"+","+",71605470,71605470,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,45,1,1,1,0,"cg10495606"
"8508","cg00040103","chr2",46040236,46040237,"+","+",63772389,63772389,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,56,1,1,1,0,"cg00040103"
"8512","cg14536764","chr2",46229463,46229464,"+","+",20784461,20784461,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,56,0,1,1,0,"cg14536764"
"8535","cg27138002","chr2",46925381,46925382,"-","-",62658347,62658347,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",5,60,0,1,1,0,"cg27138002"
"8543","cg22707393","chr2",47115827,47115828,"+","+",27737347,67701361,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",4,60,1,1,1,0,"cg22707393"
"8545","cg01762315","chr2",47164967,47164968,"+","+",56665477,56665477,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",2,45,1,1,1,0,"cg01762315"
"8546","cg02634634","chr2",47167606,47167607,"+","+",12753469,12753469,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",4,69,1,1,1,0,"cg02634634"
"8549","cg06959232","chr2",47168533,47168534,"-","-",47622406,47622406,"II","Both","CG",FALSE,FALSE,1,0,"Island",10,82,1,1,1,0,"cg06959232"
"8558","cg02187090","chr2",47346813,47346814,"+","+",44639486,44639486,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,41,1,1,1,0,"cg02187090"
"8566","cg11855895","chr2",47467779,47467780,"+","+",39702371,39702371,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,50,1,1,1,0,"cg11855895"
"8571","cg14803009","chr2",47630550,47630551,"-","-",65769300,65769300,"II","Both","CG",FALSE,FALSE,0,0,"Island",8,71,1,1,1,0,"cg14803009"
"8574","cg17353680","chr2",47779198,47779199,"+","+",35694474,35694474,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,55,1,1,1,0,"cg17353680"
"8581","cg27560690","chr2",48115263,48115264,"-","-",55606510,55606510,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,48,1,1,1,0,"cg27560690"
"8584","cg17590135","chr2",48647546,48647547,"+","+",46682420,64784322,"I","Grn","CG",FALSE,FALSE,0,0,"Open Sea",7,67,1,1,1,0,"cg17590135"
"8596","cg13423075","chr2",48982754,48982755,"+","+",41749408,72770372,"I","Grn","CG",FALSE,FALSE,0,0,"Island",10,71,1,1,1,0,"cg13423075"
"8602","cg25448687","chr2",49143534,49143535,"-","-",45719474,45719474,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",5,54,1,1,1,2,"cg25448687"
"8613","cg09494582","chr2",51056822,51056823,"-","-",16659448,16659448,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",11,70,1,1,1,1,"cg09494582"
"8620","cg08174577","chr2",52007582,52007583,"-","-",65681307,64616469,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",7,69,1,1,1,0,"cg08174577"
"8623","cg15853771","chr2",52656979,52656980,"+","+",13754467,13754467,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,39,1,1,1,0,"cg15853771"
"8627","cg22283083","chr2",53160678,53160679,"-","-",27742457,27742457,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,40,1,1,1,0,"cg22283083"
"8634","cg01400468","chr2",54087469,54087470,"+","+",40762488,67712450,"I","Red","CG",FALSE,FALSE,0,0,"South Shore",7,63,1,1,1,0,"cg01400468"
"8678","cg19384241","chr2",55393977,55393978,"+","+",47711337,47711337,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",4,56,1,1,1,0,"cg19384241"
"8697","cg07468585","chr2",56192635,56192636,"+","+",65616443,65616443,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,53,1,1,1,0,"cg07468585"
"8698","cg07641563","chr2",56216086,56216087,"+","+",32765449,32765449,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,39,0,1,1,0,"cg07641563"
"8699","cg16403360","chr2",56216320,56216321,"-","-",11649392,11649392,"II","Both","CG",FALSE,FALSE,1,0,"Open Sea",1,47,1,1,1,0,"cg16403360"
"8708","cg10664190","chr2",56413253,56413254,"-","-",34775365,34775365,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",3,56,1,1,1,0,"cg10664190"
"8709","cg00257800","chr2",57938135,57938136,"-","-",64779503,64779503,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,48,1,1,1,0,"cg00257800"
"8710","cg14994124","chr2",58130074,58130075,"-","-",16631313,16631313,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,34,1,1,2,0,"cg14994124"
"8715","cg00866836","chr2",58662766,58662767,"-","-",63715327,63715327,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,41,1,1,1,0,"cg00866836"
"8718","cg12616434","chr2",59146751,59146752,"-","-",28708443,28708443,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,55,1,1,1,0,"cg12616434"
"8723","cg26040101","chr2",60229772,60229773,"-","-",70690417,70690417,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,53,1,1,1,0,"cg26040101"
"8727","cg14554157","chr2",60780027,60780028,"-","-",10701481,10701481,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",5,45,1,1,1,0,"cg14554157"
"8744","cg04541421","chr2",61370764,61370765,"-","-",64681493,64681493,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,48,1,1,1,0,"cg04541421"
"8761","cg22770637","chr2",62521325,62521326,"+","+",57712447,57712447,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,60,1,1,1,0,"cg22770637"
"8762","cg08210468","chr2",62535081,62535082,"+","+",13689354,13689354,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,43,1,1,1,0,"cg08210468"
"8765","cg03796890","chr2",62729106,62729107,"+","+",37665380,37665380,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",1,47,1,1,1,0,"cg03796890"
"8767","cg17146694","chr2",62734857,62734858,"-","-",41643342,41643342,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",4,52,0,1,1,0,"cg17146694"
"8815","cg24200960","chr2",65604910,65604911,"-","-",51622491,51622491,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,58,1,1,1,0,"cg24200960"
"8817","cg24872815","chr2",65623541,65623542,"+","+",29624483,29624483,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,49,1,1,1,0,"cg24872815"
"8832","cg04367866","chr2",66695875,66695876,"-","-",20707340,20707340,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,45,1,1,2,0,"cg04367866"
"8836","cg08773876","chr2",66860189,66860190,"+","+",37766413,64654398,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",7,66,1,1,1,175,"cg08773876"
"8853","cg19401277","chr2",68225101,68225102,"-","-",45679365,45679365,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,45,0,1,1,0,"cg19401277"
"8878","cg08166758","chr2",68982638,68982639,"-","-",39732438,39732438,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,36,1,1,2,0,"cg08166758"
"8880","cg12311377","chr2",69091224,69091225,"-","-",60651334,60651334,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,56,1,1,1,0,"cg12311377"
"8893","cg15979937","chr2",69336567,69336568,"+","+",68806305,68806305,"II","Both","CG",TRUE,FALSE,0,0,"Open Sea",3,36,1,1,1,0,"cg15979937"
"8910","cg26034355","chr2",69968919,69968920,"+","+",74652383,56703445,"I","Red","CG",FALSE,FALSE,0,0,"Island",9,72,1,1,2,0,"cg26034355"
"8921","cg09393382","chr2",70309976,70309977,"+","+",23684386,23684386,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",1,57,1,1,1,60,"cg09393382"
"8933","cg02535342","chr2",70417372,70417373,"-","-",36691388,36691388,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",5,52,0,1,1,0,"cg02535342"
"8934","cg23280983","chr2",70418262,70418263,"-","-",13714379,13714379,"II","Both","CG",FALSE,FALSE,0,0,"Island",7,56,0,1,1,0,"cg23280983"
"8959","cg01812070","chr2",71016724,71016725,"-","-",14704422,14704422,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",4,59,1,1,1,0,"cg01812070"
"8967","cg25032342","chr2",71126725,71126726,"-","-",59690465,59690465,"II","Both","CG",FALSE,FALSE,0,0,"Island",7,69,1,1,1,0,"cg25032342"
"8988","cg10598816","chr2",71192262,71192263,"+","+",30682334,60647430,"I","Red","CG",FALSE,FALSE,0,0,"Island",11,75,1,1,1,0,"cg10598816"
"9018","cg15150396","chr2",71787431,71787432,"-","-",68723471,68723471,"II","Both","CG",FALSE,FALSE,0,0,"Island",5,63,1,1,1,0,"cg15150396"
"9020","cg16134262","chr2",71788134,71788135,"-","-",69803468,69803468,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",4,61,1,1,1,0,"cg16134262"
"9025","cg08310842","chr2",72156953,72156954,"-","-",24683489,24683489,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,49,0,1,2,0,"cg08310842"
"9026","cg14549485","chr2",72162697,72162698,"-","-",14754454,14754454,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,52,1,1,1,0,"cg14549485"
"9041","cg17090593","chr2",73144410,73144411,"-","-",59664330,47648448,"I","Grn","CG",FALSE,FALSE,0,0,"Island",9,66,1,1,1,0,"cg17090593"
"9043","cg04622795","chr2",73158609,73158610,"+","+",10777392,10777392,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,63,1,1,1,0,"cg04622795"
"9046","cg25445634","chr2",73314239,73314240,"+","+",32810458,32810458,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,56,1,1,1,0,"cg25445634"
"9057","cg26853808","chr2",73441387,73441388,"-","-",54626418,43752477,"I","Grn","CG",FALSE,FALSE,0,0,"Island",10,66,0,1,1,0,"cg26853808"
"9068","cg23021160","chr2",73869666,73869667,"-","-",25727409,25727409,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,59,1,1,1,0,"cg23021160"
"9069","cg14975154","chr2",73871230,73871231,"+","+",34762496,34762496,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,50,1,1,1,0,"cg14975154"
"9070","cg13584399","chr2",73907327,73907328,"+","+",73674327,73674327,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,44,1,1,1,1,"cg13584399"
"9071","cg07899983","chr2",73929634,73929635,"-","-",48652451,48652451,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,55,1,1,4,1,"cg07899983"
"9072","cg02105352","chr2",73929892,73929893,"-","-",61735466,61735466,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,49,1,1,1,1,"cg02105352"
"9073","cg01652215","chr2",73963950,73963951,"-","-",18627470,18627470,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",3,50,1,1,1,0,"cg01652215"
"9082","cg20325454","chr2",74078577,74078578,"-","-",12775407,12775407,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,53,0,1,1,0,"cg20325454"
"9084","cg02274550","chr2",74119923,74119924,"+","+",57795395,57795395,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,41,0,1,1,0,"cg02274550"
"9090","cg07805383","chr2",74346210,74346211,"-","-",72740390,72740390,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",3,53,0,1,2,0,"cg07805383"
"9095","cg02529760","chr2",74361289,74361290,"+","+",67628304,67628304,"II","Both","CG",FALSE,FALSE,0,0,"South Shelf",2,51,1,1,1,0,"cg02529760"
"9105","cg20694147","chr2",74433498,74433499,"+","+",61768386,61768386,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,41,1,1,1,0,"cg20694147"
"9109","cg13774539","chr2",74612706,74612707,"-","-",60721463,60721463,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,55,1,1,1,0,"cg13774539"
"9114","cg07321171","chr2",74692645,74692646,"+","+",57770313,57770313,"II","Both","CG",FALSE,FALSE,0,0,"Island",7,55,1,1,1,0,"cg07321171"
"9124","cg03035746","chr2",74727286,74727287,"-","-",50620506,50620506,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",5,61,1,1,1,0,"cg03035746"
"9132","cg22039458","chr2",74756240,74756241,"+","+",49725396,49725396,"II","Both","CG",FALSE,FALSE,0,0,"Island",6,64,1,1,1,0,"cg22039458"
"9137","cg02048416","chr2",74782684,74782685,"+","+",62733348,62733348,"II","Both","CG",FALSE,FALSE,0,0,"Island",7,59,0,1,1,0,"cg02048416"
"9143","cg00684101","chr2",74978584,74978585,"+","+",44638432,44638432,"II","Both","CG",FALSE,FALSE,0,0,"North Shelf",1,36,1,1,1,0,"cg00684101"
"9149","cg16626875","chr2",75093247,75093248,"-","-",18788371,18788371,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,55,1,1,1,0,"cg16626875"
"9151","cg12290764","chr2",75185568,75185569,"-","-",69788324,69788324,"II","Both","CG",FALSE,FALSE,0,0,"Island",6,69,0,1,1,0,"cg12290764"
"9167","cg01524566","chr2",75797267,75797268,"-","-",23708479,23708479,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,50,1,1,1,0,"cg01524566"
"9170","cg23889112","chr2",75874389,75874390,"-","-",59793374,50726372,"I","Grn","CG",FALSE,FALSE,0,0,"Island",13,72,1,1,1,0,"cg23889112"
"9172","cg19360937","chr2",76148284,76148285,"+","+",55774359,55774359,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,36,1,1,2,0,"cg19360937"
"9189","cg02657641","chr2",79366059,79366060,"+","+",54789400,54789400,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,33,1,1,1,0,"cg02657641"
"9198","cg03105556","chr2",80329553,80329554,"-","-",36725473,36725473,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,54,1,1,1,0,"cg03105556"
"9202","cg21152173","chr2",80774975,80774976,"+","+",53697374,42779474,"I","Red","CG",FALSE,FALSE,0,0,"Open Sea",5,54,1,1,1,2,"cg21152173"
"9206","cg04024865","chr2",81421703,81421704,"-","-",30652406,30652406,"II","Both","CG",FALSE,FALSE,0,0,"Island",6,58,1,1,1,0,"cg04024865"
"9211","cg14803005","chr2",81708731,81708732,"-","-",32747330,32747330,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",4,59,1,1,2,0,"cg14803005"
"9213","cg04571903","chr2",82233349,82233350,"-","-",45734482,45734482,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,28,1,1,1,0,"cg04571903"
"9216","cg07165115","chr2",82756475,82756476,"+","+",34773353,34773353,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",3,49,0,1,2,5,"cg07165115"
"9218","cg04011469","chr2",82864753,82864754,"+","+",38606446,38606446,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",1,40,1,1,1,0,"cg04011469"
"9221","cg01375801","chr2",84106187,84106188,"+","+",37667347,33733428,"I","Grn","CG",FALSE,FALSE,0,0,"Open Sea",4,47,1,1,1,6,"cg01375801"
"9222","cg23411919","chr2",84517769,84517770,"-","-",51745447,63796385,"I","Red","CG",FALSE,FALSE,0,0,"Island",12,68,1,1,1,0,"cg23411919"
"9235","cg19350511","chr2",85197808,85197809,"+","+",49668450,29801460,"I","Red","CG",FALSE,FALSE,0,0,"Island",11,76,0,1,1,0,"cg19350511"
"9236","cg21474384","chr2",85197811,85197812,"+","+",74676406,74676406,"II","Both","CG",FALSE,FALSE,0,0,"Island",12,77,1,1,1,0,"cg21474384"
"9245","cg01905046","chr2",85554079,85554080,"+","+",13796471,13796471,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",1,53,1,1,1,0,"cg01905046"
"9264","cg11608897","chr2",85766394,85766395,"+","+",39619347,22778337,"I","Red","CG",FALSE,FALSE,0,0,"Island",12,63,1,1,1,0,"cg11608897"
"9268","cg13654133","chr2",85822680,85822681,"+","+",47770384,47770384,"II","Both","CG",FALSE,FALSE,0,0,"Island",3,50,1,1,1,0,"cg13654133"
"9274","cg19376794","chr2",85843782,85843783,"-","-",59806371,59806371,"II","Both","CG",FALSE,TRUE,0,0,"South Shore",2,31,1,1,1,0,"cg19376794"
